,title,countries_distinct_count,institutions_distinct_count,cited_by_count,publication_year,id,num_authors,total_author_domain_count,mean_author_domain_count,max_author_domain_count,total_author_field_count,mean_author_field_count,max_author_field_count,total_author_subfield_count,mean_author_subfield_count,max_author_subfield_count
34,On the Computational Representation of Classical Logical Connectives,1,1,0,2007,https://openalex.org/W1998178168,2,1,1.0,1,3,2.0,3,8,4.5,8
35,Performance Analysis of Secure Group Key Mechanism in Mobile Ad Hoc Networks,0,0,0,2018,https://openalex.org/W2941912181,2,1,1.0,1,2,1.5,2,6,3.5,4
36,PdP,2,2,26,2009,https://openalex.org/W2138010924,3,4,2.6666666666666665,3,10,5.666666666666667,7,24,13.333333333333334,14
37,Performance Evaluation of Various Scheduling Algorithm Based on Cloud Computing System,1,1,2,2018,https://openalex.org/W2921252385,5,4,2.2,4,12,4.4,9,20,6.4,15
38,GPUs: High-performance Accelerators for Parallel Applications,1,1,3,2014,https://openalex.org/W2017530264,1,2,2.0,2,4,4.0,4,11,11.0,11
39,Perception Based Object Recognition Using SP Theory,0,0,0,2017,https://openalex.org/W2766067699,2,3,2.0,3,6,3.0,5,16,8.0,15
40,"""Going Green in the Library: It's Not Just for Contractors""",1,1,4,2009,https://openalex.org/W560859627,1,2,2.0,2,6,6.0,6,11,11.0,11
41,The comparative programming languages course,1,1,0,2002,https://openalex.org/W3004785304,1,1,1.0,1,1,1.0,1,1,1.0,1
42,Correction: Carbon quantum dots as a visible light sensitizer to significantly increase the solar water splitting performance of bismuth vanadate photoanodes,2,4,7,2017,https://openalex.org/W4251318628,9,4,2.3333333333333335,4,20,7.111111111111111,11,62,12.11111111111111,18
43,CIP's Seventh Annual Educational Software Contest: The Winners,1,1,2,1996,https://openalex.org/W4239671185,1,3,3.0,3,8,8.0,8,19,19.0,19
44,"A new system of variational inclusions with (H, η)-monotone operators",1,1,4,2006,https://openalex.org/W2108020658,2,3,2.0,3,6,4.0,6,20,10.5,19
45,Supporting Exploratory Information Access Based on Comic Content Information,1,2,1,2017,https://openalex.org/W2578141889,3,4,3.3333333333333335,4,13,5.666666666666667,7,28,11.0,15
46,Identifying Military Veterans in a Clinical Research Database using Natural Language Processing,1,1,0,2019,https://openalex.org/W2990504417,6,4,3.1666666666666665,4,15,5.666666666666667,9,47,13.833333333333334,20
47,Using static analysis for checking configurable semantic restrictions on a programming language,1,1,0,2012,https://openalex.org/W2325971064,1,2,2.0,2,3,3.0,3,6,6.0,6
48,Risk Evaluation in Road Construction with Neural Networks and Monte Carlo Simulation,1,1,0,2001,https://openalex.org/W71466020,2,2,2.0,2,5,3.0,4,6,3.5,5
49,Performance based channel allocation in IEEE 802.22 networks,1,1,4,2011,https://openalex.org/W2122312761,2,4,2.5,4,11,6.0,11,17,9.0,17
50,Evidence for iconic memory of natural scenes before change blindness,1,1,0,2015,https://openalex.org/W1622825675,2,4,4.0,4,9,7.0,7,17,10.0,11
51,A metric for hypertext usability,1,1,17,1991,https://openalex.org/W2014325066,3,2,1.6666666666666667,2,3,1.6666666666666667,2,7,3.6666666666666665,6
52,Optimization for performance and energy for batched matrix computations on GPUs,2,3,11,2015,https://openalex.org/W1991324025,5,4,2.6,3,16,7.0,10,39,15.0,20
53,Efficient incremental view maintenance in data warehouses,1,1,31,2001,https://openalex.org/W2048104165,3,4,3.3333333333333335,4,12,7.333333333333333,8,36,15.666666666666666,19
54,Analysis of Factors Hindering Learners' Participation in Cyber Home Study in Elementary Education,0,0,0,2013,https://openalex.org/W2081196087,2,4,3.0,4,12,6.0,9,23,11.5,20
55,On a conjecture on the closest normal matrix,0,0,0,1998,https://openalex.org/W2169688677,1,1,1.0,1,3,3.0,3,7,7.0,7
56,Web-based dialogue and translation games for spoken language learning,1,1,13,2007,https://openalex.org/W2398913168,1,4,4.0,4,9,9.0,9,19,19.0,19
57,Figuring out Zhangyong's Leadership Style by His Way of Handling the Crisis in Haidilao Jinsong and Sun Palace Stores,1,1,0,2018,https://openalex.org/W2782599557,1,4,4.0,4,10,10.0,10,22,22.0,22
58,Research on Power Grid Fault Diagnosis Based on SVM,1,1,0,2015,https://openalex.org/W2157855468,2,3,2.0,3,9,5.0,9,19,10.0,19
59,ON A CONJECTURE IN BIVARIATE INTERPOLATION,1,0,0,2016,https://openalex.org/W2215092148,1,1,1.0,1,2,2.0,2,4,4.0,4
60,FORMATION OF PHASE PORTRAITS PATTERNS OF THE CORRELATION FUNCTION,0,0,0,2017,https://openalex.org/W2888747025,2,1,1.0,1,1,1.0,1,1,1.0,1
61,Multiplicative orders on terms,1,1,0,2008,https://openalex.org/W2050626840,1,1,1.0,1,2,2.0,2,5,5.0,5
62,Solution of creative design of artistic and decorative form depending on the used materials,0,0,3,2019,https://openalex.org/W2944188871,2,1,1.0,1,2,1.5,2,2,1.5,2
63,"Best practices for describing, consuming, and discovering web services: a comprehensive toolset",1,2,36,2012,https://openalex.org/W1593595437,4,4,3.0,4,11,5.0,8,32,12.75,22
64,Design of A Distributed Server System for Supporting Enormous Users Using Blocks,1,1,0,2011,https://openalex.org/W2001802305,1,3,3.0,3,5,5.0,5,8,8.0,8
65,Algorithms for fair partitioning of convex polygons,1,1,8,2015,https://openalex.org/W2179864577,2,3,2.0,3,6,4.0,6,18,12.0,16
66,A brief introduction to weakly supervised learning,1,1,1196,2017,https://openalex.org/W2746791238,1,2,2.0,2,5,5.0,5,11,11.0,11
67,DECISION STRATEGIES AND COGNITIVE ADAPTATIONS TO ECOLOGY,1,1,0,2017,https://openalex.org/W2767659225,1,4,4.0,4,4,4.0,4,15,15.0,15
68,On the Use of a Low-Cost Thermal Sensor to Improve Kinect People Detection in a Mobile Robot,1,3,14,2013,https://openalex.org/W2039812641,6,4,3.1666666666666665,4,12,5.666666666666667,7,30,12.833333333333334,15
69,On the rationality of complex homology 2-cells: II,0,0,5,1989,https://openalex.org/W4245898647,2,2,1.5,2,6,3.5,6,13,7.0,13
70,Data gathering for science and research,1,1,1,2004,https://openalex.org/W2792461706,1,4,4.0,4,8,8.0,8,16,16.0,16
71,Signature and Residue Testing of Microprogrammable Control Units,1,1,2,2016,https://openalex.org/W2403894018,1,3,3.0,3,4,4.0,4,11,11.0,11
72,"Modeling, Reachability and Controllability of Bounded Petri Nets Based on Semi‐Tensor Product of Matrices",1,4,11,2018,https://openalex.org/W2891947260,5,4,3.0,3,13,6.4,9,28,12.0,14
73,Context-aware apps with the Zonezz platform,1,1,5,2011,https://openalex.org/W2111105623,1,3,3.0,3,7,7.0,7,17,17.0,17
74,Guidelines for multilingual linked data,1,1,22,2013,https://openalex.org/W1999579699,5,4,3.2,4,12,5.0,9,34,9.4,18
75,Why Molière most likely did write his plays,1,4,11,2019,https://openalex.org/W2991260307,2,4,3.0,3,8,5.5,6,27,17.0,18
76,Space-filling Latin hypercube designs for computer experiments,1,1,135,2010,https://openalex.org/W2765767683,4,3,2.25,3,13,6.5,10,31,12.25,18
77,Lexical Acquisition for Opinion Inference: A Sense-Level Lexicon of Benefactive and Malefactive Events,1,1,23,2014,https://openalex.org/W2251721284,3,4,3.0,4,9,4.666666666666667,6,24,10.0,14
78,Biometric Application of Intelligent Agents in Fake Document Detection of Job Applicants,1,1,0,2012,https://openalex.org/W2332503233,1,1,1.0,1,1,1.0,1,4,4.0,4
79,Active Acquisition of Information for Diagnosis and Supervisory Control of Discrete Event Systems,1,2,0,2007,https://openalex.org/W2828181264,2,3,2.5,3,9,6.0,6,19,11.0,12
80,Cloud Computing Architecture for Visual Disabilities on E-Governance,2,2,2,2012,https://openalex.org/W2116189621,3,4,3.0,4,11,6.0,8,20,11.333333333333334,14
81,An adaptive frequency-selective weighted prediction of residual signal for efficient RGB video compression coding,0,0,0,2010,https://openalex.org/W2092870898,3,4,3.3333333333333335,4,12,6.666666666666667,7,36,14.333333333333334,17
82,"Quantitative Syntax Analysis Reinhard Köhler (Trier University) Berlin and Boston: De Gruyter Mouton (Quantitative Linguistics series, edited by Reinhard Köhler, Gabriel Altmann, and Peter Grzybek, volume 65), 2012, x+224 pp, hardbound, ISBN 978-3-11-027219-2, €99.95, $140.00",1,1,1,2012,https://openalex.org/W2107669407,2,4,3.0,3,8,5.5,6,27,15.5,18
83,Pedestrian Action Prediction using Static Image Feature,1,2,2,2015,https://openalex.org/W2294289052,4,4,2.5,3,8,4.0,5,26,9.75,14
84,Do Digital Natives Need Libraries?,1,1,0,2019,https://openalex.org/W2961525900,1,2,2.0,2,5,5.0,5,12,12.0,12
85,Identical in Appearance but Not in Actuality: Headings Shared by a Subject-Access and a Form/Genre Access Authority List,0,0,1,1997,https://openalex.org/W1985333358,1,4,4.0,4,9,9.0,9,20,20.0,20
86,A Note on Intersection of Lower Semicontinuous Multifunctions,1,1,0,1985,https://openalex.org/W4239006602,2,2,1.5,2,4,3.0,4,6,4.5,5
87,Investigating Separation of Territories and Activity Roles in Children's Collaboration around Tabletops,1,2,6,2018,https://openalex.org/W2898692107,6,4,3.1666666666666665,4,20,8.5,11,64,16.833333333333332,22
88,Representation of Texts into String Vectors for Text Categorization,1,1,32,2010,https://openalex.org/W1991122732,1,3,3.0,3,5,5.0,5,12,12.0,12
89,Parallel program control based on hierarchically detected consistent global states,0,0,0,2004,https://openalex.org/W3149229540,1,2,2.0,2,5,5.0,5,5,5.0,5
90,Language and Domain Independent Entity Linking with Quantified Collective Validation,2,2,38,2015,https://openalex.org/W2250758064,5,4,3.2,4,19,7.8,9,52,15.4,18
91,The mixed powerdomain,1,1,35,1992,https://openalex.org/W2080430146,1,4,4.0,4,7,7.0,7,12,12.0,12
92,"Infeasible paths in the context of data flow based testing criteria: identification, classification and prediction",0,0,1,2006,https://openalex.org/W4247289738,3,4,2.6666666666666665,3,10,6.333333333333333,8,31,16.0,18
93,Linked Data and You: Bringing Music Research Software into the Semantic Web,1,2,48,2010,https://openalex.org/W2138365710,5,3,2.4,3,12,5.4,8,33,11.8,18
94,Recommended versus Certified Repositories: Mind the Gap,2,4,3,2017,https://openalex.org/W2747127184,4,4,2.25,4,10,3.75,9,19,6.25,16
95,Reinforcement Learning Based Evolution and Learning Algorithm for Cooperative Behavior of Swarm Robot System,0,0,0,2007,https://openalex.org/W1964042233,3,4,2.6666666666666665,3,5,3.6666666666666665,4,15,9.0,13
96,An exact estimate result for a class of singular equations with critical exponents,1,2,51,2011,https://openalex.org/W2058220480,2,3,2.0,2,9,5.5,8,16,9.0,13
97,Twentenet,1,1,1,1984,https://openalex.org/W4233710618,2,3,2.0,3,6,3.5,6,12,6.5,12
98,Existence results and approximation methods for functional ordinary differential equations with singular diffusion-type differential operators,1,1,2,2002,https://openalex.org/W1982154888,3,4,2.3333333333333335,3,10,6.333333333333333,7,19,11.666666666666666,12
99,Largest empty circle centered on a query line,3,3,11,2010,https://openalex.org/W2038874732,3,4,2.6666666666666665,3,11,6.333333333333333,9,26,12.333333333333334,18
0,Prioritized Planning Algorithms for Trajectory Coordination of Multiple Mobile Robots,3,3,162,2015,https://openalex.org/W2155313135,4,3,2.25,3,10,6.0,9,33,13.75,17
1,Predictive System for Medical Emergency and Admissions Control,1,2,0,2019,https://openalex.org/W4255552584,2,3,2.0,3,4,2.5,4,7,4.0,7
2,Some Reflections On Styrene Suspension Polymerization Experiment Teaching,1,1,2,2019,https://openalex.org/W2918032869,4,4,2.25,4,13,6.75,11,33,12.0,19
3,The OPS Domain Specific Abstraction for Multi-block Structured Grid Computations,1,2,36,2014,https://openalex.org/W4255162882,5,4,2.6,4,12,6.4,9,33,13.2,18
4,Real-Time Adaptive EEG Source Separation Using Online Recursive Independent Component Analysis,1,0,78,2016,https://openalex.org/W2294321532,4,4,3.25,4,11,5.5,6,27,11.0,15
5,Recent Progress in ROC Analysis,0,0,0,1994,https://openalex.org/W641223603,1,3,3.0,3,6,6.0,6,15,15.0,15
6,Developing an Integrated Cloud-based Framework for Securing Dataflow of Wireless Sensors,1,1,0,2019,https://openalex.org/W2964775996,3,3,2.0,3,6,3.0,5,10,5.0,8
7,The EMBL data library,0,0,29,1991,https://openalex.org/W4255579152,2,1,1.0,1,1,1.0,1,1,1.0,1
8,Non-Discriminatory Machine Learning Through Convex Fairness Criteria,1,1,6,2018,https://openalex.org/W4298377035,3,4,3.3333333333333335,4,15,7.0,11,29,12.333333333333334,18
9,Enterprise Interoperability Ontology for SOC applied to Logistics,1,1,0,2010,https://openalex.org/W2551674976,1,3,3.0,3,6,6.0,6,16,16.0,16
10,Extensions of algebraic systems,0,0,6,1984,https://openalex.org/W2081855509,1,1,1.0,1,4,4.0,4,6,6.0,6
11,Staged Approach for Grammatical Gender Identification of Nouns using Association Rule Mining and Classification,1,2,2,2015,https://openalex.org/W2583574563,3,4,2.6666666666666665,4,9,4.333333333333333,8,17,7.666666666666667,13
12,Blind estimation of transmit‐antenna number for non‐Cooperative multiple‐input multiple‐output orthogonal frequency division multiplexing systems,2,1,5,2017,https://openalex.org/W2770369314,4,3,2.0,3,9,5.25,8,29,11.75,15
13,Data sharing and how it can benefit your scientific career,1,1,76,2019,https://openalex.org/W2944372136,1,4,4.0,4,10,10.0,10,20,20.0,20
14,Dynamic High Level Cross Layer Security Mechanisms for Wireless Sensor Networks,2,3,1,2012,https://openalex.org/W2111131039,2,4,2.5,4,7,4.5,7,14,8.0,14
15,Composing instrument control dynamics,1,0,12,2002,https://openalex.org/W1981120522,1,4,4.0,4,10,10.0,10,15,15.0,15
16,"Optimized Punctured ZCZ Sequence-Pair Set: Design, Analysis, and Application to Radar System",1,1,6,2010,https://openalex.org/W2013361034,2,1,1.0,1,2,2.0,2,10,8.0,8
17,Visual Language in Visual Communication,1,1,3,2009,https://openalex.org/W2014760575,1,3,3.0,3,7,7.0,7,16,16.0,16
18,INFLUENCE OF HUMAN FACTORS IN THE DESIGN OF PERSONAL COMPUTERS,1,1,0,1986,https://openalex.org/W1979893449,1,4,4.0,4,8,8.0,8,16,16.0,16
19,PENGUKURAN DOSIS EFEKTIF ORGAN TYROID DAN MATA PADA PEMERIKSAAN MAMMOGRAFI,1,1,0,2017,https://openalex.org/W2594173989,1,1,1.0,1,1,1.0,1,1,1.0,1
20,Migration of visual images in contemporary art experiences,1,1,0,2018,https://openalex.org/W2901862090,1,3,3.0,3,6,6.0,6,9,9.0,9
21,"Convergent flash localization near saccades without equivalent ""compression"" of perceived separation",2,4,5,2008,https://openalex.org/W2005548261,3,4,3.3333333333333335,4,14,8.333333333333334,10,38,15.0,21
22,The Ideal Determined by the Unsymmetric Game,0,0,1,1993,https://openalex.org/W4254983725,2,1,1.0,1,1,1.0,1,1,1.0,1
23,Kidney segmentation in 3D CT images using B-Spline Explicit Active Surfaces,2,5,3,2016,https://openalex.org/W2528174691,8,4,3.5,4,18,7.0,10,60,15.5,19
24,The Foundation of the Web Semantic Architecture and Development Concept,0,0,0,2017,https://openalex.org/W2606542103,3,1,1.0,1,1,1.0,1,1,1.0,1
25,Objective image quality assessment based on image color appearance and gradient features,0,0,5,2020,https://openalex.org/W3113747462,2,4,3.0,3,13,9.5,10,29,17.5,20
26,Opinion Mining using Machine Learning Techniques,0,0,2,2019,https://openalex.org/W4239063827,2,4,3.0,4,7,4.5,7,15,8.5,15
27,A Fast Prototyping Workflow for Reconfigurable SDR Applications,2,2,2,2019,https://openalex.org/W3010886733,4,3,1.5,2,6,2.5,4,14,4.75,8
28,Developing as a writer: Refereeing manuscripts for peer-reviewed LIS journals,0,0,1,2007,https://openalex.org/W2588006748,1,3,3.0,3,11,11.0,11,18,18.0,18
29,Parallel Computing Environment for R with on Supercomputer Systems,1,2,0,2014,https://openalex.org/W1894940037,2,4,2.5,4,9,5.0,9,19,9.5,18
30,Neural Natural Language Inference Models Partially Embed Theories of Lexical Entailment and Negation,1,2,33,2020,https://openalex.org/W3097977265,3,4,3.6666666666666665,4,11,5.666666666666667,7,20,10.333333333333334,15
31,Role of aesthetics in web design,1,2,2,2019,https://openalex.org/W2990515347,4,1,1.0,1,1,1.0,1,2,1.5,2
32,Controle de acesso a serviços usando Smart Contracts,1,1,0,2019,https://openalex.org/W2980546546,2,2,1.5,2,5,3.0,5,11,6.0,11
33,CSgator: an integrated web platform for compound set analysis,1,2,7,2019,https://openalex.org/W2919066097,6,3,2.3333333333333335,3,10,4.5,9,29,7.166666666666667,16
34,Development of Real Number Models of Analog IP Blocks for Mixed Signal SoC Verification,0,0,0,2018,https://openalex.org/W2896044097,2,1,1.0,1,1,1.0,1,1,1.0,1
35,Improved Quantization Error Compensation Method for Fixed-Width Booth Multipliers,1,1,0,2014,https://openalex.org/W2065935712,3,3,2.0,3,9,4.666666666666667,6,23,10.666666666666666,12
36,EFL Students’ Writing Style in the Script Introduction Section,1,1,0,2017,https://openalex.org/W2744818931,3,4,3.0,4,9,5.0,7,18,9.0,14
37,Is an Artificial Teacher Possible?,1,1,0,2020,https://openalex.org/W3126710722,1,1,1.0,1,2,2.0,2,2,2.0,2
38,Calibration of an industrial data acquisition system used in a solar heating plant,1,1,0,2018,https://openalex.org/W2809664240,2,2,1.5,2,7,4.5,6,17,9.5,15
39,Collaborative Knowledge Construction: Learning in Undergraduate Cognitive Science Courses Supported by an Enhanced Note-Sharing System Technique,0,0,0,2004,https://openalex.org/W2327410667,1,2,2.0,2,4,4.0,4,6,6.0,6
40,On Horn-Kapranov uniformisation of the discriminantal loci,0,0,5,2019,https://openalex.org/W2967153401,1,2,2.0,2,5,5.0,5,9,9.0,9
41,Vector equilibrium problems for multifunctions in topological semilattice spaces,0,0,0,2017,https://openalex.org/W2735106163,2,4,2.5,3,11,7.0,8,17,10.0,13
42,Penerapan Pendekatan Realistik Bersetting Pembelajaran Kooperatif Tipe TAI Untuk Meningkatkan Hasil Belajar Matematika Siswa Kelas V SD Inp 6/75 Manurungge Watampone Kab. Bone,1,1,0,2018,https://openalex.org/W2896886463,3,3,2.0,3,4,2.3333333333333335,4,4,2.3333333333333335,4
43,Research of Car Navigation Data Retrieval System,1,1,0,2013,https://openalex.org/W1970163112,3,3,2.0,3,8,4.666666666666667,8,32,13.333333333333334,21
44,Audio Compression using Multiple Transformation Techniques,1,0,3,2014,https://openalex.org/W2168876539,2,3,2.0,3,7,4.0,7,12,6.5,12
45,Light Weight Steganography on RISC Platform-Implementation and Analysis,1,1,5,2015,https://openalex.org/W2545490743,4,4,2.25,4,13,5.25,8,29,10.75,16
46,Real world indoor &amp; outdoor navigation experiences with ROS,0,0,0,2013,https://openalex.org/W3016170458,1,2,2.0,2,6,6.0,6,7,7.0,7
47,A Trend-Surface Analysis on the Effect of Battery Plate Temperature and Radiation Levels on Pv Generating Capacity,0,0,1,2014,https://openalex.org/W2505746285,1,1,1.0,1,1,1.0,1,1,1.0,1
48,Branching and pruning: An optimal temporal POCL planner based on constraint programming,2,3,154,2006,https://openalex.org/W2115181241,2,3,2.5,3,8,6.0,6,19,11.5,12
49,Towards acquisition of taxonomic inference,1,1,0,2009,https://openalex.org/W2084219177,1,3,3.0,3,6,6.0,6,8,8.0,8
50,"A Critical Review of the Challenges, Threats, and Drawbacks of Humanoid and Autonomous Robots",1,1,2,2016,https://openalex.org/W2529509836,1,2,2.0,2,3,3.0,3,6,6.0,6
51,"Drills, Games or Tests? Evaluating Students' Motivation in Different Online Learning Activities, Using Log File Analysis",1,2,3,2011,https://openalex.org/W2110153574,3,2,2.0,2,8,5.0,8,18,9.333333333333334,16
52,A history based approximate epistemic action theory for efficient postdictive reasoning,2,2,7,2015,https://openalex.org/W1271310336,2,4,3.0,3,9,6.5,7,23,14.5,16
53,Analysis of real-time programs with simple time Petri nets,1,1,23,1994,https://openalex.org/W2050278738,2,4,3.0,4,7,5.5,6,19,12.5,15
54,An Improved Flower Pollination Optimizer Algorithm for Multilevel Image Thresholding,1,1,20,2019,https://openalex.org/W2991124257,2,4,3.0,3,8,5.5,7,24,14.0,16
55,An Equational Relation for Ambient Calculus,0,0,0,2005,https://openalex.org/W2122803799,1,3,3.0,3,5,5.0,5,14,14.0,14
56,Research on the EndingLogistics Distribution Mode in Higher Education Institutions,1,1,0,2017,https://openalex.org/W2794177368,3,4,3.0,4,18,8.333333333333334,11,41,16.0,24
57,A preconditioned Newton algorithm for the nearest correlation matrix,2,2,72,2009,https://openalex.org/W2130697848,2,2,1.5,2,9,5.5,9,20,11.0,20
58,Outlier Detection and Removal Algorithm in K-Means and Hierarchical Clustering,1,0,30,2017,https://openalex.org/W2778920369,2,4,2.5,4,11,6.0,11,18,9.5,18
59,Augment or push,2,2,48,1998,https://openalex.org/W2039995466,5,4,3.0,4,13,6.4,9,47,13.6,16
60,Generalized Derivation,1,1,2,2004,https://openalex.org/W4299318291,1,2,2.0,2,4,4.0,4,12,12.0,12
61,Complete weight enumerators of a new class of linear codes,1,1,4,2018,https://openalex.org/W2804430687,2,3,3.0,3,10,8.0,9,29,17.5,18
62,Comprehensive Study of the Anonymous Item in Cheongguyeongeon,0,0,0,2017,https://openalex.org/W2896867315,1,4,4.0,4,8,8.0,8,13,13.0,13
63,Near Field Communication Technology in Delivering Information in Museums,1,1,1,2017,https://openalex.org/W2783853852,3,3,2.0,3,8,4.333333333333333,7,20,9.0,14
64,Joint DOD and DOA Estimation Using Reduced-Capon Method in Bistatic MIMO Array,1,1,0,2019,https://openalex.org/W2999673838,3,2,1.6666666666666667,2,6,4.0,5,21,12.666666666666666,14
65,Time Wasters Related to Decision-making in Private Companies: An Empirical Study on Saudi Telecom Company (STC).,1,1,1,2013,https://openalex.org/W2313920837,1,2,2.0,2,2,2.0,2,2,2.0,2
66,Robot-resident neural networks: A step beyond computer simulation,1,1,0,1997,https://openalex.org/W2046900348,3,4,4.0,4,16,8.666666666666666,10,44,16.666666666666668,17
67,Dynamic thread and data mapping for NoC based CMPs,2,2,14,2009,https://openalex.org/W2133574252,3,3,1.6666666666666667,3,7,3.3333333333333335,7,19,8.333333333333334,15
68,A task scheduling algorithm based on Qos,1,1,0,2016,https://openalex.org/W2343747930,3,4,2.0,3,11,5.333333333333333,8,31,13.666666666666666,21
69,Attitude of Foreign Language Learners on Nonverbal Communication and Privacy in Communicative Classes,1,1,0,2019,https://openalex.org/W2975205415,1,1,1.0,1,1,1.0,1,1,1.0,1
